b,g,r,pele
110,153,210,1
40,41,39,2
68,85,124,1
126,126,96,2
170,161,127,2
71,78,35,2
161,195,254,1
182,179,135,2
45,87,130,1
165,165,117,2
151,190,235,1
55,16,238,2
165,161,113,2
65,80,142,1
99,142,199,1
145,186,249,1
117,151,210,1
155,174,219,1
150,149,93,2
153,191,255,1
199,209,249,1
120,153,222,1
181,178,134,2
162,160,112,2
129,172,223,1
36,88,71,2
194,195,153,2
81,89,129,1
74,85,123,1
3,1,1,2
140,139,83,2
110,148,206,1
157,194,255,1
66,67,25,2
255,255,255,2
51,103,163,1
170,96,172,2
146,165,232,1
141,165,225,1
3,1,0,2
199,197,162,2
179,177,129,2
142,139,195,1
205,215,255,1
172,186,239,1
116,160,224,1
131,136,191,1
61,118,179,1
96,143,224,1
179,176,131,2
179,176,131,2
152,151,93,2
203,98,71,2
167,198,253,1
61,113,166,1
53,97,144,1
105,146,225,1
167,163,114,2
255,255,255,2
201,211,251,1
166,180,233,1
97,137,202,1
156,175,220,1
117,116,58,2
172,166,129,2
150,167,230,1
178,175,131,2
178,175,131,2
70,83,121,1
156,159,120,2
105,134,191,1
69,124,191,1
56,131,200,1
118,120,174,1
170,186,228,1
126,164,218,1
63,127,122,2
50,88,136,1
106,152,223,1
71,132,198,1
51,53,17,2
148,149,99,2
168,182,235,1
59,57,46,2
97,103,156,1
78,86,126,1
182,179,134,2
?,162,127,2
100,106,159,1
126,161,225,1
126,159,228,1
96,141,222,1
162,178,224,1
140,175,225,1
181,178,134,2
61,122,186,1
53,114,178,1
200,198,163,2
170,184,237,1
84,92,132,1
65,117,177,1
187,185,145,2
172,171,121,2
195,194,156,2
104,62,15,2
143,142,86,2
119,122,177,1
141,139,85,2
5,3,3,2
59,121,181,1
180,177,133,2
98,66,61,2
199,198,160,2
51,97,144,1
133,164,233,1
52,53,14,2
126,170,217,1
60,106,154,1
103,107,58,2
157,120,46,2
173,187,235,1
199,198,160,2
8,29,20,2
177,193,182,2
138,173,229,1
117,157,216,1
139,167,231,1
61,105,158,1
189,206,249,1
57,59,23,2
59,57,46,2
116,119,174,1
135,161,227,1
160,185,229,1
225,212,214,2
107,126,169,1
17,17,11,2
171,169,121,2
132,133,94,2
197,195,160,2
201,199,164,2
114,149,223,1
154,195,255,1
69,67,26,2
91,93,41,2
178,174,125,2
152,176,236,1
179,176,132,2
177,174,130,2
126,165,217,1
129,131,89,2
118,117,59,2
63,68,23,2
59,105,169,1
132,135,90,2
173,171,123,2
199,197,162,2
198,196,161,2
117,159,224,1
104,150,204,1
148,170,22,2
172,169,124,2
150,144,201,1
154,192,255,1
174,172,124,2
199,98,124,2
229,159,99,2
145,180,224,1
56,59,20,2
119,153,219,1
245,250,253,2
76,79,30,2
172,169,124,2
59,74,130,1
90,118,142,1
164,162,114,2
46,71,127,1
53,54,20,2
97,98,42,2
199,197,162,2
96,149,222,1
138,175,225,1
18,9,190,2
130,171,226,1
115,116,66,2
101,135,194,1
182,179,134,2
58,122,187,1
164,163,112,2
116,157,212,1
165,164,114,2
122,157,213,1
121,154,223,1
115,149,209,1
173,170,125,2
72,91,129,1
4,250,255,2
97,132,196,1
52,103,166,1
171,169,135,2
131,169,223,1
140,182,241,1
108,129,181,1
197,195,160,2
69,71,25,2
145,164,231,1
74,76,30,2
58,61,22,2
97,135,189,1
227,208,203,2
160,195,255,1
96,145,225,1
54,106,159,1
105,142,200,1
101,138,194,1
109,147,205,1
41,92,154,1
76,79,30,2
84,92,132,1
67,107,159,1
114,146,212,1
193,193,153,2
10,15,6,2
63,63,23,2
160,164,129,2
121,147,207,1
149,185,231,1
167,163,115,2
206,214,254,1
182,178,137,2
54,106,159,1
181,176,145,2
1,2,0,2
247,251,252,2
93,68,232,2
123,156,225,1
66,67,27,2
178,175,131,2
176,176,130,2
106,141,197,1
171,185,234,1
129,153,205,1
235,220,217,2
2,2,2,2
199,209,249,1
71,93,129,1
129,135,94,2
75,84,128,1
180,178,137,2
94,138,221,1
149,151,99,2
107,210,205,2
37,88,144,1
179,176,131,2
131,161,218,1
149,150,108,2
65,66,26,2
97,141,195,1
155,174,235,1
132,136,101,2
51,110,182,1
247,249,249,2
97,51,64,2
96,148,215,1
179,176,132,2
141,182,245,1
136,139,90,2
178,175,130,2
119,156,216,1
174,190,243,1
151,192,254,1
32,33,7,2
60,119,188,1
135,170,220,1
45,93,141,1
176,191,237,1
135,169,215,1
95,133,198,1
147,165,226,1
80,113,186,1
63,119,174,1
147,186,248,1
164,160,112,2
169,182,228,1
155,166,228,1
122,121,93,2
74,89,128,1
147,157,221,1
60,127,196,1
144,180,250,1
124,156,222,1
156,196,254,1
57,57,21,2
127,173,221,1
101,139,197,1
201,211,251,1
32,33,7,2
129,163,217,1
34,33,5,2
17,13,2,2
203,209,255,1
126,165,217,1
132,134,92,2
52,52,52,2
78,80,34,2
157,159,129,2
51,116,184,1
165,163,115,2
198,196,162,2
0,0,255,2
153,187,253,1
17,8,189,2
93,137,220,1
74,109,175,1
220,223,231,2
99,148,224,1
128,168,220,1
136,139,93,2
50,50,10,2
